id,uid,program_name,enabled?,source,subject
568,InviteNotificationFromAdmin,MIT Sloan Student & Alumni Mentoring Program,yes,"Welcome!<br /><br />You have been invited to join the {{subprogram_or_program_name}} {{as_role_name_articleized}}.&nbsp;Your next steps include:<br />&nbsp;<ul> <li>Review the <a href=""https://mitsloanmentor.chronus.com/p/main/pages/701?src=tab"">Mentee Expectations</a> in the MIT Sloan Alumni-Student Mentoring Program.&nbsp;</li> <li>Complete your Mentee Profile outlining your education and career history and interests.&nbsp; This profile will be used to generate your compatibility scores with potential mentors.</li></ul><ul> <li>Click &ldquo;Find a Mentor&rdquo; to see the list of Alumni Mentors.&nbsp; The program will suggest compatible Mentors based on your profile; however, you are welcome to reach out to any Mentor and can search the entire database by location, industry, or job function.</li></ul>Please note that all data that is entered into the Mentoring Program will be available to MIT Sloan for its records.<br /><br /><a href=""{{url_invitation}}"" style=""line-height: 20.7999992370605px;"">Click here</a>&nbsp;to accept the invitation and begin to build your profile. &nbsp;<br />Please contact us with any questions or concerns.<br />&nbsp;<br />Sarah Murphy<br />MIT Sloan Office of External Relations<br /><a href=""mailto:spmurphy@mit.edu"">spmurphy@mit.edu</a><br />(617) 324-7338<br /><br /><br />&nbsp;",Invitation to join the MIT Sloan Alumni-Student Mentoring Program {{as_role_name_articleized}}
856,InviteNotificationFromAdmin,Staples Mentoring,yes,"<strong>Greetings!</strong><br /><br />You are invited to join the <strong>Mentoring Made Easy</strong> program!<br /><br />Once you accept, you will be prompted to create a password and complete your profile. Please be thorough as it will help the matching algorithm find the best possible pairings. (This does not apply to you since you are matched.)<br /><br /><strong><a href=""{{url_invitation}}"">Click here</a></strong> to accept the invitation and sign up {{as_role_name_articleized}}.<br /><br />&nbsp;<br /><strong>Erika Hopkins, SPHR</strong><br /><em>Director, Global Inclusion and Diversity</em><br /><br /><br />&nbsp;<br />",Invitation to join Mentoring Made Easy {{as_role_name_articleized}}
1055,InviteNotificationWithoutRoles,Staples Mentoring,yes,"<strong>Greetings!</strong><br /><br />You are invited to join the <strong>Mentoring Made Easy&nbsp;</strong>program!<br /><br />Once you accept, you will be prompted to create a password and complete your profile. Please be thorough as it will help the matching algorithm suggest the best available pairings. <strong>Profiles should be completed by Wednesday, May 8th. The matching function will be activated on May 9th.</strong><br /><br />During the sign up process, you will need to <strong>choose your role</strong>: mentor or mentee.<br />At a future date yet to be determined, you will be able to request an additional role, if desired. That way, you can be both mentor and mentee, should you desire.&nbsp;<br /><br />For now, I encourage you to become fully engaged in your role and the program.<br /><br />For those of you comfortable with choosing the <strong>mentor</strong> role now, I ask that you do so in ordet to ensure that our mentees have ample mentors available from which to choose.&nbsp;<br /><br /><strong><a href=""{{url_invitation}}"">Click here</a> </strong>to accept the invitation and sign up for Mentoring Made Easy.<br /><br />Erika Hopkins<br />Director, Global Inclusion &amp; Diversity",Invitation: You are invited to join {{subprogram_or_program_name}}
1088,InviteNotificationWithoutRoles,C&IB Mentoring Pilot,yes,"Hello,<br /><br />Talent development is critical to our success. Everything we do in the business begins and ends with our employees, and we are only as good as the talent we recruit, develop and retain.<br />&nbsp;<br />Over the last several months, the C&amp;IB Talent Management Council has been working to identify areas where we can improve talent and career development, diversity and inclusion and overall employee engagement. Several action plans have been created and you will hear more about steps we are taking and programs being implemented throughout 2013, the first of which is a focused mentoring program.<br />&nbsp;<br /><strong>Mentoring Program Pilot</strong><br />C&amp;IB is piloting a mentoring program with diverse employees who are at the mid-point of their career or at a management level. You have been selected as an individual that qualifies for this important pilot as either a mentee or mentor or both. &nbsp;The program will last 12 months and is designed to provide a quality, one-on-one mentoring experience and one that will help the mentees develop one of the following PNC Leadership Competencies:<br />&nbsp;<br /><ul> <li> Establishing Clear Vision and Purpose</li> <li> Leading Change</li> <li> Managing Risk</li> <li> Driving Results</li> <li> Growing Capability</li> <li> Building High Performing Teams</li></ul>&nbsp;<br /><strong>Actions</strong><br /><ol> <li> <a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up for the C&amp;IB Mentoring Pilot.</li> <li> Mentees and mentors will complete a self assessment of their Leadership Competencies in order to help identify Leadership Competency strengths and areas for further development.</li><li>Chronus system tutorial is available to assist in navigating the technology.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</li> <li> Mentee/mentor will complete a profile within Chronus that includes background information (ie resume) and your Leadership Competency relative strengths and weaknesses.</li> <li> Mentees will then search for mentors using the Chronus mentoring technology who can provide counsel on the competencies the mentee is looking to develop. Mentor relationships can be traditional (ie more senior) or peer-to-peer (ie same level, but with different experiences and Leadership Competency strengths). In addition, the mentor need not be restricted to your line of business or geography.</li><li>Mentee will reach out to the selected mentor using Chronus to initiate the&nbsp; initial meeting to discuss the selected Leadership Competencies selected for development. Initial meetings can be done in person, Avistar (web enable video conference) or telephone.</li> <li> Mentee, with the assistance and input of the mentor, will create a development plan that should include action items and time line. It is expected that the mentee and mentor will have a monthly conference call to discuss progress throughout the year.</li></ol>&nbsp;<br />We hope you will consider participating in this pilot and a mentee or mentor. It will further your development, broaden your network, and offer you an unbiased perspective on your strengths and opportunities for improvement in a trusted environment.<br />&nbsp;<br />If you have any questions or are interested in being a mentor, please reach out to program managers <strong>Tina Hwang</strong> or <strong>Nikki Jablonski</strong>.<br />&nbsp;<br />Thank you<br />&nbsp;<br />",Invitation: {{subprogram_or_program_name}}
1207,InviteNotificationFromAdmin,LRP,yes,"<strong>Greetings!</strong><br /><br />You are invited to join the <strong>LRP Mentoring</strong> program!<br /><br />Once you accept, you will be prompted to create a password and complete your profile. Please be thorough as it&#39;s the beginning of understanding yourself.&nbsp;<br /><br /><strong><a href=""{{url_invitation}}"">Click here</a></strong> to accept the invitation and sign up {{as_role_name_articleized}}.",Invitation to join Mentoring Made Easy {{as_role_name_articleized}}
1210,InviteNotificationFromAdmin,North America Mentoring Made Easy,yes,"<strong>Greetings!</strong><br /><br />You are invited to join the <strong>Mentoring Made Easy</strong> program!<br /><br />Once you accept, you will be prompted to create a password and complete your profile. Please be thorough as it will help the matching algorithm find the best possible pairings.<br /><br /><strong><a href=""{{url_invitation}}"">Click here</a></strong> to accept the invitation and sign up {{as_role_name_articleized}}.<br /><br />&nbsp;<br /><strong>Erika Hopkins, SPHR</strong><br /><em>Director, Global Inclusion and Diversity</em><br /><br /><br />&nbsp;<br />",Invitation to join Mentoring Made Easy {{as_role_name_articleized}}
1221,InviteNotificationFromAdmin,Women's Mentoring Program,yes,"<strong>Greetings!</strong><br /><br />You are invited to join the <strong>Mentoring Made Easy</strong> program!<br /><br />Once you accept, you will be prompted to create a password and complete your profile. Please be thorough as it will help the matching algorithm find the best possible pairings.&nbsp;<br /><br /><strong><a href=""{{url_invitation}}"">Click here</a></strong> to accept the invitation and sign up {{as_role_name_articleized}}.<br /><br />&nbsp;<br /><strong>Erika Hopkins, SPHR</strong><br /><em>Director, Global Inclusion and Diversity</em><br /><br /><br />&nbsp;<br />",Invitation to join Mentoring Made Easy {{as_role_name_articleized}}
1226,InviteNotificationWithoutRoles,LRP,no,"<strong>Greetings!</strong><br /><br />You are invited to join the <strong>Mentoring Made Easy&nbsp;</strong>program!<br /><br />Once you accept, you will be prompted to create a password and complete your profile. Please be thorough as it will help the matching algorithm suggest the best available pairings. <strong>Profiles should be completed by Wednesday, May 8th. The matching function will be activated on May 9th.</strong><br /><br />During the sign up process, you will need to <strong>choose your role</strong>: mentor or mentee.<br />At a future date yet to be determined, you will be able to request an additional role, if desired. That way, you can be both mentor and mentee, should you desire.&nbsp;<br /><br />For now, I encourage you to become fully engaged in your role and the program.<br /><br />For those of you comfortable with choosing the <strong>mentor</strong> role now, I ask that you do so in ordet to ensure that our mentees have ample mentors available from which to choose.&nbsp;<br /><br /><strong><a href=""{{url_invitation}}"">Click here</a> </strong>to accept the invitation and sign up for Mentoring Made Easy.<br /><br />Erika Hopkins<br />Director, Global Inclusion &amp; Diversity",Invitation: You are invited to join {{subprogram_or_program_name}}
1228,InviteNotificationFromAdmin,URS IE Mentoring Program,yes,"Greetings,<br /><br />You are formally invited to become {{role_name}} of the {{subprogram_or_program_name}}! &nbsp;This is a great opportunity for URS to assist our employees with personal and professional development through mentoring relationships with highly talented and successful colleagues.&nbsp;<br /><br />eMentoring is a mechanism for mentees and mentors to connect locally, across our US offices and even throughout the world! &nbsp;As such, this type of mentoring partnership may not always be face to face. This program provides guidance on how to build a successful mentoring relationship even though it may not be local or in person.<br /><br />You have been nominated to participate in this program and we hope you will accept. &nbsp;URS is offering this pilot program for one year. The continuation of the program depends on the fulfillment of successful mentoring relationships and the feedback we receive from you and other participants.<br /><br /><a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up for the {{subprogram_or_program_name}} {{as_role_name_articleized}}. Once enrolled, you will receive a &quot;Welcome Message&quot; with more information and next steps.<br /><br />Thank you so much for your anticipated participation! We hope you find the program beneficial and an effective tool for your future success at URS.",Invitation: URS invites you to join {{as_role_name_articleized}}
1462,InviteNotificationFromAdmin,GetMentoring.com,yes,"Greetings,<br /><br />You are invited to join BYU&#39;s Mentoring Program {{as_role_name_articleized}} by <span class=""cjs-tool-tip"" data-desc=""Name of the administrator who is sending the invite"" data-original-title="""">{{invitor_name}}</span>.<br /><br />Message from {{invitor_name}}:<br /><br /><i>Thanks for giving of your time and talents to our mentoring program. In order to get you signed up on GetMentoring.com you will need to follow the steps below:<br /><br />1. Create a BYU Net ID at <a href=""https://lambda.byu.edu/ae/prod/person/cgi/createNetId.cgi"">https://lambda.byu.edu/ae/prod/person/cgi/createNetId.cgi</a>.&nbsp; Don&#39;t worry about filling out the SS# field since you are not a BYU student or employee.<br /><br />2. Once your Net ID is created, return to this email and <a href=""{{url_invitation}}"">click here</a> to accept the invitation and sign up for BYU&#39;s Mentoring Program {{as_role_name_articleized}} on GetMentoring.com. (Note: You will be prompted to log in using your newly created BYU Net ID and password.)<br /><br />3. Complete the profile creation process. If you don&#39;t have all of the information, or the time to properly fill out every section you can always edit your profile after the fact inside the site. (Note: The question regarding the &ldquo;maximum number of mentees you wish to mentor&rdquo; does not apply to our program so don&rsquo;t worry about changing it.)<br /><br />4. Once inside the system you can add mentoring availability slots by clicking on the &quot;My Availability&quot; tab. The calendar utilizes an interactive drag interface so just click on a given day and drag downwards to create an availability slot.<br /><br />5. There are two prerequisites found in the I&rsquo;m a Mentor portion of the GetMentoring.com site:&nbsp; read Nail It Then Scale It, and the mentor Code of Conduct. Please review and agree and check the appropriate yes boxes when setting up your profile. (There is a summary of the book on the prerequisite portion of the website.)<br /><br />6. Qualified students can access the mentoring system and self-select the mentor that best fits their current need based in part on the profile you create.<br /><br />If you have any problems or questions during the steps above feel free to contact me, or Jeff Brown, at the information in the signature below.<br /><br />Thanks again!<br /><br />Jeff Howlett<br />Director of Venture Mentoring Services<br />Rollins Center for Entrepreneurship &amp; Technology at BYU<br />venturementoring@gmail.com&nbsp;&nbsp; &nbsp;<br />801.422.7437<br /><br />Jeff Brown<br />GetMentoring.com Admin<br />jeff.brown@byu.edu<br />801-422-2815</i><br />",Invitation: You are invited to join BYU's Mentoring Program {{as_role_name_articleized}}
1761,InviteNotificationFromAdmin,Mentoring Made Easy,yes,"<strong>Greetings!</strong><br /><br />You are invited to join the <strong>Mentoring Made Easy</strong> program!<br /><br />Once you accept, you will be prompted to create a password and complete your profile. Please be thorough as it will help the matching algorithm find the best possible pairings. (This does not apply to you since you are matched.)<br /><br /><strong><a href=""{{url_invitation}}"">Click here</a></strong> to accept the invitation and sign up {{as_role_name_articleized}}.<br /><br />&nbsp;<br /><strong>Erika Hopkins, SPHR</strong><br /><em>Director, Global Inclusion and Diversity</em><br /><br /><br />&nbsp;<br />",Invitation to join Mentoring Made Easy {{as_role_name_articleized}}
1977,InviteNotificationFromAdmin,Forte MBALaunch Peer Groups,yes,"Hello Launchers!,<br /><br />The MBALaunch program is designed to provide you with a variety of networking opportunities and coaching styles. We are excited to introduce a resource to help manage the three coaching opportunities you will experience as part of MBA Launch. Please follow these instructions to make the most out of this program.<br /><br />To get started,&nbsp;<strong>please&nbsp;<a href=""{{url_invitation}}"" style=""color: rgb(17, 85, 204);"" target=""_blank"">complete your commitment form and create your profile</a>&nbsp;in our online community</strong>. It is important that you meet this deadline as all launchers need to be in the system before we can match you with your Peer Groups and Advisors.<br /><br />When you create your profile, you will be asked to answer a series of questions. The more detailed information you provide, the better your coaching experience will be. This profile information will help you get to know your Peer Group and will also be the foundation to finding Office Hour Experts and Current MBA Students who share expertise that match your areas of interest.&nbsp; After you create your profile, you may check out the tab &quot;Help Topics&quot; which will provide resources and tips on using the system.<br /><br />We will be matching you with your Peer Groups in January and will provide additional instructions at that time.&nbsp; In the meantime, please introduce yourself on the forums and begin to meet and network with your fellow Launchers!<br /><br />If you have questions about this resource or anything else regarding the MBALaunch program, please reach out to&nbsp;<a href=""mailto:krystal@fortefoundation.org"" style=""color: rgb(17, 85, 204); font-family: arial, sans-serif; line-height: normal;"" target=""_blank"">Krystal Brooks</a>.",Invitation: {{invitor_name}} invites you to join {{as_role_name_articleized}}
