"#Tasks",,,,,,,
"Title","Description","Required (yes, no)","Due by (X days after...)","After","Action Item (Create meeting, set up goal, none)","Action Item ID","Assignee (Mentee, Mentor)"
"Getting acquainted","<div class=""well square-well bg-highlight""> Online messaging is an unintimidating, flexible way to ease into a relationship with a new person. Many people find it easier to open up to someone new through writing.</div><div> <p> Your Mentoring Connection includes a messaging component where you can get to know each other, plan meetings, or even discuss progress on tasks and milestones. To break the ice, try sharing a little about yourself:</p> <ol> <li> Jobs, hobbies, and extracurricular activities</li> <li> Research, projects, or career-related accomplishments</li> <li> Ways of balancing work with your personal life</li> <li> Your favorite class in college, favorite book, favorite movie, etc.</li> </ol> <p> As you get to know each other better, your mentee is encouraged to voice concerns regarding their goals. In some cases you may need to take the initiative to help your mentee express these uncertainties. In case your mentee lacks the lexicon to discuss certain issues with you, your mentee may try to paraphrase. Be sure that you understand what your mentee is trying to say. Although it might take several online discussions to clarify a point, your mentee will appreciate your patience.</p> <p> And finally, remember to communicate openly if you or your mentee find yourselves struggling to maintain the commitment at any point. We are committed to helping all members find their way to successful mentoring relationships.</p> <p> Good luck!</p></div><br />","Mentor",7,,,,
"Getting acquainted","<div> <p> Online messaging is an unintimidating, flexible way to ease into a relationship with a new person. Many people find it easier to open up to someone new through writing. An added benefit is that it allows you to articulate your thoughts as events happen&mdash;and the more frequently you write to each other, the more connected and motivated you&#39;ll feel.</p> <p> Your Mentoring Area includes a messaging component where you can express thoughts, plan meetings, or even discuss progress on tasks and milestones. To break the ice, try sharing a little about yourself:</p> <ul> <li> Jobs, hobbies, and extracurricular activities</li> <li> Courses that you have undertaken, projects that you have worked on, or career-related interests</li> <li> Your favorite class in college, favorite book, favorite movie, etc.</li> </ul> <p> Don&#39;t forget to ask questions and learn about your mentor, too!</p> <p> As you become more comfortable with your mentor, it is important to voice your professional concerns. If you find it difficult to discuss topics using technical terms, paraphrase as best as you can. Although it might take several online discussions to clarify a point, your mentor will appreciate your interest and your passion to learn.</p> <p> And finally, remember to communicate openly if you or your mentor find yourselves struggling to maintain the commitment at any point. We are committed to helping all members find their way to successful mentoring relationships.</p> <p> Good luck!</p></div><br />","Mentee",7,,,,
"Create a vision - set your goals","<div> <p> Before you move beyond getting to know each other, you and your mentee should set concrete goals.</p> <p> We encourage mentees to take charge of setting pace and direction, and to explore with you how you can help with goal attainment. You can help with goal-setting by holding your mentee accountable for developing and recording goals.</p> <p> Your mentee has been sent the following questions. Ask your mentee to answer them honestly and thoughtfully. This exercise develops mentoring goals and the beginnings of a roadmap</p> <ul> <li> <strong>What are your goals for this mentoring relationship?</strong> (e.g., competency development, career advancement, leadership skills development, gain knowledge in a particular topic area, etc.)</li> <li> <strong>How will you know if you reached these goals?</strong> (e.g., improved performance, promoted, attained a new credential, etc.)</li> <li> <strong>What challenges can you anticipate?</strong> (e.g., availability of advancement opportunities, need to further your formal education, length of time needed to develop a new skill or competency)</li> </ul> <p> Additionally, take a moment to reflect on your own personal goals. Beyond the rewards of helping to shape another&#39;s growth, is there anything you wish to develop? Do you want to become a better mentor, communicator, listener, or leader? Are you seeking greater self-awareness and fresh perspectives? You will get more out of mentoring if you keep your goals in mind from the start.</p></div><br />","mentor",14,,,,
"Create a vision - set your goals","<div class=""well square-well bg-highlight""> Before you and your mentor progress beyond getting to know each other, you will need to set concrete goals.</div><div> <p> Success in mentoring requires you to understand your needs, set your goals accordingly, and discuss with your mentor how to accomplish them. Start by answering the following questions:</p> <ol> <li> <strong>What are your goals for this mentoring relationship?</strong> (e.g., complete requirements for the degree, find an internship or job, get admitted to graduate schools)</li> <li> <strong>How will you know if you reached these goals?</strong> (e.g., being able to graduate as intended, receiving an offer to work in the area of your interest, getting an acceptance letter to grad schools)</li> <li> <strong>What challenges can you anticipate?</strong> (e.g., not sure about the availability of certain courses, job market is slow, applications are time consuming to complete)</li> </ol> <p> Once you set concrete goals, you will find it easier to make the best use of time with your mentor.</p></div><br />","mentee",14,,,,
"Mentoring tips","<div> <p> There are several traits that will help you to be an effective mentor:</p> <ul> <li> <strong>Inspire</strong> - What makes mentors effective may very well rest in the ability to inspire their mentees. By setting an example, you may be able to motivate your mentee towards future paths that are beyond his or her original dreams. Challenge your mentee to find importance in what he or she aspires to do. Help your mentee create a future vision.</li> <li> <strong>Be an Active Listener</strong> - A sign of good listening is that your mentee feels he or she has been clearly heard and understood. Your mentee feels accepted and puts more&nbsp;trust in the mentoring relationship. One form of active listening is remembering or showing interest in things your mentee mentioned in the past.</li> <li> <strong>Share Similar Experiences</strong> - Mentors are not expected to be superheroes. Most of the time, they are people who have already experienced situations similar to those their mentees now face. By sharing your experiences, you can help your mentee feel more empowered to deal with challenges successfully.</li> <li> <strong>Provide Corrective Feedback in an Encouraging Manner</strong> - It is not easy to take feedback well. However, hearing it in a motivating and encouraging tone can help your mentee accept and apply feedback readily.</li> <li> <strong>Speak of Your Mentee in Positive or Neutral Ways</strong> - Your mentee needs to trust that your discussions are confidential and that the mentoring relationship is mutually supportive. When speaking of your mentee to others, provide only positive or neutral comments.</li> </ul></div><br />","Mentor",21,,,,
"Effective online communication","<p> In person, you can convey meaning with facial expressions and hand gestures. On the phone, you still have voice modulation. These cues are missing in written communication, and without them it is a skill and an art to communicate effectively. The better people can express themselves, the more their relationships will deepen. When communicating through writing, the following tips will help prevent miscommunication.</p><div> <ul> <li> <strong>Meaningful Subject Line</strong> - A good subject line ensures that the recipient recognizes the importance of your message and doesn&#39;t delete it accidentally. The subject line should also serve as a summary, giving your mentee a clear idea of the topic you want to discuss.</li> <li> <strong>Clear and Concise Messages</strong> - Take the time to write clear, concise messages. Correspondingly, if you receive messages that are not clear and concise, take the time to get clarification. Were your mentee&#39;s points clear to you? If not, give your mentee an opportunity to restate, elaborate or reconsider the intended message.</li> <li> <strong>Investigating Assumptions</strong> - Consider what assumptions your mentee may have made, whether implicit or explicit. To uncover assumptions and prevent misinterpretations, state your understanding of the mentee&#39;s message or ask your mentee to clarify.</li> <li> <strong>Communicating about Communication</strong> - It is very important to inform your mentee of your schedule well in advance. This prevents the unnecessary frustration of a communication breakdown.</li> </ul></div><p> Online messaging has its challenges, but it also has advantages in many situations, especially when done thoughtfully. Use the messaging section of your Mentoring Connection Area liberally and have fun getting to know your mentee!</p>","mentor",28,,,,
"Effective online communication","<p> In person, you can convey meaning with facial expressions and hand gestures. On the phone, you still have voice modulation. These cues are missing in written communication, and without them it is a skill and an art to communicate effectively. The better people can express themselves, the more their relationships will deepen. When communicating through writing, the following tips will help prevent miscommunication.</p><div> <ul> <li> <strong>Meaningful Subject Line</strong> - A good subject line ensures that the recipient recognizes the importance of your message and doesn&#39;t delete it accidentally. The subject line should also serve as a summary, giving your mentee a clear idea of the topic you want to discuss.</li> <li> <strong>Clear and Concise Messages</strong> - Take the time to write clear, concise messages. Correspondingly, if you receive messages that are not clear and concise, take the time to get clarification. Were your mentee&#39;s points clear to you? If not, give your mentee an opportunity to restate, elaborate or reconsider the intended message.</li> <li> <strong>Investigating Assumptions</strong> - Consider what assumptions your mentee may have made, whether implicit or explicit. To uncover assumptions and prevent misinterpretations, state your understanding of the mentee&#39;s message or ask your mentee to clarify.</li> <li> <strong>Communicating about Communication</strong> - It is very important to inform your mentee of your schedule well in advance. This prevents the unnecessary frustration of a communication breakdown.</li> </ul></div><p> Online messaging has its challenges, but it also has advantages in many situations, especially when done thoughtfully. Use the messaging section of your Mentoring Connection Area liberally and have fun getting to know your mentee!</p>","mentor",28,,,,
"Effective online communication","<p> In person, you can convey meaning with facial expressions and hand gestures. On the phone, you still have voice modulation. These cues are missing in written communication, and it is a skill and an art to communicate effectively without them. The better people can express themselves, the more their relationships will deepen. When communicating through writing, the following tips will help prevent miscommunication.</p><ul> <li> <strong>Meaningful Subject Line</strong>&nbsp;- A good subject line ensures that the recipient recognizes the importance of your message and doesn&#39;t delete it accidentally. The subject line should also serve as a summary, giving your mentor a clear idea of the topic you want to discuss.</li> <li> <strong>Clear and Concise Messages</strong>&nbsp;- Take the time to write clear, concise messages. Correspondingly, if you receive messages that are not clear and concise, take the time to get clarification. Were your mentor&#39;s points clear to you? If not, give your mentor an opportunity to restate, elaborate or reconsider the intended message.</li> <li> <strong>Investigating Assumptions</strong>&nbsp;- Consider what assumptions your mentor may have made, whether implicit or explicit. To uncover assumptions and prevent misinterpretations, state your understanding of the mentor&#39;s message or ask your mentor to clarify.</li> <li> <strong>Communicating about Communication</strong>&nbsp;- It is very important to let each other know your schedules in advance. This prevents the unnecessary frustration of a communication breakdown.</li></ul><p> Asynchronous messaging has its challenges, but it is valuable and advantageous in many situations. Use the messaging section of your Mentoring Connection Area liberally and have fun getting to know your mentor!</p>","mentee",28,,,,
"Survey - Mentoring Relationship Health","<p> This message is being sent to you by the administrators of your mentoring program. As part of our continual effort to improve the mentoring experience, we would like to get feedback on mentoring relationships and their impact on mentors and mentees. We kindly request you to take a few minutes to share with us information concerning your mentoring relationship by completing the survey below.</p><p> Survey: <a href=""URL HERE"">Mentoring Relationship Health</a></p><p> We understand that your time is precious, but your feedback will help us serve you better. We thank you in advance and hope this is not too much of an inconvenience.</p>","mentor",42,,,,
"Survey - Mentoring Relationship Health","<p> This message is being sent to you by the administrators of your mentoring program. As part of our continual effort to improve the mentoring experience, we would like to get feedback on mentoring relationships and their impact on mentors and mentees. We kindly request you to take a few minutes to share with us information concerning your mentoring relationship by completing the survey below.</p><p> Survey: <a href=""URL HERE"">Mentoring Relationship Health</a></p><p> We understand that your time is precious, but your feedback will help us serve you better. We thank you in advance and hope this is not too much of an inconvenience.</p>","mentee",42,,,,
"Ten reminders for effective mentoring","<div> <ol> <li> Demonstrate interest, helpful intent, and involvement. When you talk with your mentee, clear your mind of unnecessary thoughts and distractions so that you can offer your undivided attention.</li> <li> Establish rapport by learning or remembering personal information about your mentee.</li> <li> Begin by focusing on strengths and potentials rather than limitations.</li> <li> Keep in frequent contact with your mentee. Even a short email or phone call can make a big difference.</li> <li> Be available and keep your appointments.</li> <li> Hold your mentee accountable for commitments and goals. Follow up frequently.</li> <li> Don&#39;t be critical of colleagues&nbsp;to your mentee.</li> <li> Consistently evaluate the effectiveness of your mentoring and adjust your style as needed.</li> <li> Be yourself and allow your mentee to do the same.</li> <li> Remember that active listening is one of the most important skills of a good mentor.</li> </ol></div><br />","mentor",54,,,,
"Networking tips","<div class=""well square-well bg-highlight""> In your daily life, you probably network all the time simply by meeting, connecting, and keeping in touch with others. You know firsthand that quality relationships can enrich your life and empower you to achieve your goals. Your mentee likely also realizes that it&#39;s important to develop and maintain a strong network, and would appreciate hearing your personal approach. Some suggestions on how to help:</div><div> <ul> <li> Let your mentee know if networking helped you professionally, such as to find your current job, a promotion, or clients.</li> <li> If appropriate, share ideas about communication skills, such as smiling when meeting people, maintaining eye contact, active listening, body language, complimenting, and finding common interests over which to connect.</li> <li> Share techniques for starting conversations with new people, such as an opening line when meeting people, a list of getting-to-know-you questions, or ideas for casual conversation.</li> <li> Share your thoughts on frowned-upon practices, such as coercion, manipulation of others, and contacting long-forgotten connections only when you need something such as a job referral.</li> <li> Finally, we hope you will be willing to share a few contacts that may help your mentee reach his or her goals.</li> </ul></div><br />","mentor",70,,,,
"Networking tips","Networking is a learned skill that takes time and practice to improve. Your mentor has likely leveraged a network of contacts at various times in life. Learn how your mentor built his or her network. Appreciate the effort that goes into maintaining these quality relationships. If your mentor is willing, ask for an introduction to contacts who may be able to help you reach your goals.<div> <p> As you approach your mentor or any of his or her contacts, follow this networking etiquette:</p> <ul> <li> <strong>Ask politely</strong> - When asking for a favor, ask politely. Examples of ways to ask are: &quot;Perhaps you can point me in the right direction&quot;, and &quot;Maybe you could help me...&quot;</li> <li> <strong>Follow up</strong> - Use the 48-hour rule. Respond to phone messages and emails within 48 hours, and send thank-you or nice-to-meet-you notes or emails after a meeting within 48 hours.</li> <li> <strong>Mention your referrer</strong> - When calling a person to whom someone referred you, mention your contact&#39;s name. For example, &quot;John suggested I contact you about...&quot;</li> </ul> <p> We wish you the very best in building your network of contacts!</p></div><br />","mentee",70,,,,
"Suggested activities with your mentee","Planning to meet your mentee in person? Here are some activity ideas:</div> <ul> <li> Meet for lunch and get to know each other over lighthearted topics such as classes, career path, and extracurricular activities.</li> <li> Introduce your colleagues or people from other departments that may be of professional interest to your mentee.</li> <li> Tour the campus together.</li> <li> Introduce some of your favorite places in your city.</li> <li> Attend cultural and sporting events together.</li> </ul></div>","mentor",83,,,,
"Suggested activities with your mentor","<div> <p> Planning to meet your mentor in person? Here are some activity ideas:</p> <ul> <li> Meet for lunch and discuss lighthearted topics such as favorite classes, career paths, and hobbies.</li> <li> Ask your mentor to introduce colleagues who may be of professional interest to you.</li> <li> Tour the facilities or visit some of your favorite places in your city.</li> <li> Attend cultural and sporting events together.</li> </ul></div>","mentee",83,,,,
"Don’t lose sight of your goals - Recharge those batteries!","<p> There might be times in your mentoring relationship when progress might stagnate and you need to re-energize. At such times, try the following:</p><ol> <li> Revisit the goals that you have set for your mentoring partnership and for yourself. Are you on course?</li> <li> Could you have done something better? Enthusiasm can help you and your partner move forward.</li> <li> Do you think you need to extend the mentoring period? Learning, as they say, never stops.</li></ol><p> Your partnership will be more successful if you both regularly reaffirm goals and commitment.</p>","mentor",112,,,,
"Don’t lose sight of your goals - Recharge those batteries!","There might be times in your mentoring relationship when progress might stagnate and you need to re-energize. At such times, try the following:<div> <ol> <li> Revisit the goals that you have set for your mentoring partnership and for yourself. Are you on course?</li> <li> Could you have done something better? Enthusiasm can help you and your partner move forward.</li> <li> Do you think you need to extend the mentoring period? Learning, as they say, never stops.</li> </ol> <p> Your partnership will be more successful if you both regularly reaffirm goals and commitment.</p></div>","mentee",112,,,,
"Prepare for takeoff!","<div> <p> As the mentoring partnership nears completion, your mentee may wonder whether his or her takeaways will smooth the transition into the next career step. There may be loose ends yet to tie and some fears about moving on.</p> <p> It&#39;s important to discuss your mentee&#39;s transition to his or her post-mentoring endeavors. You may be in a position to help your mentee better prepare for what lies ahead and thus reduce any anxiety about the changes that await around the corner. Your advice could well help your mentee realize his or her full potential.</p> <p> Nothing can replace experience!</p></div><br />","Mentor",140,,,,
"Prepare for takeoff!","As your mentoring partnership nears completion, you may wonder whether your takeaways will smooth your transition to your next career step. You may have loose ends yet to tie and some fears about moving on.<div> <p> It will help if you and your mentor discuss your transition towards post-mentoring endeavors. Your mentor may be in a position to help you better prepare for what lies ahead and reduce any anxiety you have about the changes that await around the corner.</p> <p> Nothing can replace experience!</p></div>","Mentee",140,,,,
"Need for a good closure","<p> When mentoring partnerships end, some do so with goals accomplished. Some do not, for a number of reasons. Yet even unproductive mentoring relationships can benefit from good closure. A successful exit strategy includes five steps:</p><ol> <li> <strong>Processing conclusions</strong> - Process the learning that took place while working towards goals.</li> <li> <strong>Integrating what was learned</strong> - Discuss how to apply and take learning to the next level.</li> <li> <strong>Celebrating success</strong> - Plan a mutually satisfying way to celebrate achievement and new beginnings.</li> <li> <strong>Redefining the relationship</strong> - Talk about how the relationship is to continue, and what it will look like: will you transition from a professional mentoring relationship to that of colleagues or friends? Or will the relationship cease entirely?</li> <li> <strong>Moving on</strong> - Both partners let go and identify ways of keeping in touch, if appropriate and mutually desired.</li></ol><p> We encourage you to open the discussion about partnership closure as soon as possible, as closure is a process in itself.</p>","mentor",161,,,,
"Need for a good closure","<p> When mentoring partnerships end, some do so with goals accomplished. Some do not, for a number of reasons. Yet even unproductive mentoring relationships can benefit from good closure. A successful exit strategy includes five steps:</p><ol> <li> <strong>Processing conclusions</strong> - Process the learning that took place while working towards goals.</li> <li> <strong>Integrating what was learned</strong> - Discuss how to apply and take learning to the next level.</li> <li> <strong>Celebrating success</strong> - Plan a mutually satisfying way to celebrate achievement and new beginnings.</li> <li> <strong>Redefining the relationship</strong> - Talk about how the relationship is to continue, and what it will look like: will you transition from a professional mentoring relationship to that of colleagues or friends? Or will the relationship cease entirely?</li> <li> <strong>Moving on</strong> - Both partners let go and identify ways of keeping in touch, if appropriate and mutually desired.</li></ol><p> We encourage you to open the discussion about partnership closure as soon as possible, as closure is a process in itself.</p>","mentee",161,,,,
"Survey - Mentoring Relationship Closure","<p>As part of our continual effort to improve the mentoring experience, we would like to get feedback on mentoring relationships and their impact on mentors and mentees. We kindly request you to take a few minutes to share with us information concerning your mentoring relationship by completing the survey below.</p><p> Survey: <a href=""URL HERE"">Mentoring Relationship Closure</a></p><p> We understand that your time is precious, but your feedback will help us serve you better. We thank you in advance and hope this is not too much of an inconvenience.</p>","Mentor",180,,,,
"Survey - Mentoring Relationship Closure","<p> This message is being sent to you by the administrators of your mentoring program. As part of our continual effort to improve the mentoring experience, we would like to get feedback on mentoring relationships and their impact on mentors and mentees. We kindly request you to take a few minutes to share with us information concerning your mentoring relationship by completing the survey below.</p><p> Survey: <a href=""URL HERE"">Mentoring Relationship Closure</a></p><p> We understand that your time is precious, but your feedback will help us serve you better. We thank you in advance and hope this is not too much of an inconvenience.</p>","Mentee",180,,,,
